plant_trt,plantid,pop,bulk,stem,num_frt,trt,colour,seedv,seedinv,obs,frt_set
C,C067,1,0,1,1,HP,p.green,0,3,4,0
C,C098,1,0,1,1,HP,p.green,0,6,4,0
C,C152,1,0,2,1,HP,p.blue,0,5,4,0
C,C152,1,0,2,1,HP,p.blue,0,3,4,0
P,P191,1,0,1,1,HP,yellow,0,0,5,0
C,C233,1,0,2,1,OP,purple,0,4,5,0
C,C237,1,0,1,1,OP,purple,0,2,5,0
P,P012,1,0,1,1,OP,p.blue,0,4,4,0
P,P012,1,0,1,1,OP,p.blue,0,4,4,0
P,P234,1,0,1,1,OP,purple,0,2,5,0
P,P244,1,0,1,1,OP,purple,0,6,5,0
C,C091,1,0,1,1,UNP,,0,5,4,0
P,P122,1,0,1,1,UNP,,0,0,4,0
C,C127,2,0,2,1,OP,p.blue,0,4,5,0
C,C151,2,0,2,1,HP,p.blue,0,2,1,0
P,P157,2,0,2,1,OP,blue,0,0,5,0
P,P162,2,0,2,1,HP,p.blue,0,0,3,0
P,P183,2,0,1,1,OP,yellow,0,0,5,0
P,P183,2,0,2,1,OP,yellow,0,0,5,0
P,P189,2,0,1,1,UNP,,0,0,5,0
C,C098,1,0,1,1,OP,p.blue,1,4,4,0
C,C110,1,0,1,1,OP,p.blue,1,3,4,0
C,C180,1,0,1,1,OP,p.green,1,5,4,0
C,C190,2,0,2,1,HP,red,1,1,5,0
P,P184,2,0,2,1,OP,yellow,1,1,5,0
P,P189,2,0,2,1,OP,yellow,1,1,5,0
P,P190,2,0,1,1,UNP,,1,0,5,0
C,C012,1,0,2,1,HP,purple,2,0,4,0
C,C127,2,0,2,1,HP,p.green,2,10,5,0
P,P183,2,0,1,1,HP,red,2,2,5,0
C,C091,1,0,2,1,OP,p.blue,3,0,4,0
P,P122,1,0,2,1,UNP,,3,3,4,0
C,C184,2,0,1,1,UNP,,3,0,5,0
C,C146,1,0,1,1,HP,p.blue,4,4,4,0
P,P012,1,0,2,1,OP,p.blue,4,6,4,0
P,P012,1,0,2,1,OP,p.blue,4,5,4,0
P,P152,1,0,1,1,UNP,,4,4,4,0
P,P010,1,0,1,1,HP,purple,5,3,3,0
P,P136,2,0,2,1,OP,crimson,5,1,1,0
P,P012,1,0,2,1,HP,p.green,6,5,4,0
P,P010,1,0,1,1,OP,orange,6,3,3,0
C,C183,1,0,2,1,UNP,,6,2,4,0
C,C184,2,0,2,1,HP,LG,6,0,5,0
C,C189,2,0,2,1,HP,LG,6,0,5,0
P,P157,2,0,2,1,UNP,,6,3,5,0
C,C233,1,0,2,1,HP,orange,7,1,5,0
P,P172,2,0,1,1,UNP,,8,0,3,0
P,P234,1,0,1,1,HP,orange,9,2,5,0
P,P037,2,0,1,1,OP,p.green,9,3,5,0
P,P158,2,0,1,1,UNP,,9,2,5,0
P,P172,2,0,1,1,UNP,,9,3,3,0
C,C230,1,0,1,1,HP,yellow,10,46,4,1
P,P012,1,0,2,1,OP,p.blue,10,1,4,1
C,C072,1,0,1,1,UNP,,10,2,4,1
C,C188,2,0,2,1,UNP,,10,3,5,1
P,P162,2,0,2,1,HP,p.blue,10,0,2,1
C,C127,2,0,2,1,HP,ocre,11,5,5,1
C,C121,1,0,2,1,HP,p.blue,12,5,5,1
P,P122,1,0,1,1,UNP,,12,3,4,1
P,P037,2,0,1,1,UNP,,12,4,5,1
C,C151,1,0,1,1,OP,p.green,13,2,4,1
P,P229,1,0,2,1,OP,blue,13,0,4,1
P,P234,1,0,1,1,OP,purple,13,0,5,1
C,C230,1,0,1,1,HP,yellow,14,6,4,1
P,P227,1,0,1,1,UNP,,14,5,5,1
C,C188,2,0,2,1,HP,p.green,14,4,5,1
P,P155,2,0,2,1,UNP,,14,1,3,1
P,P157,2,0,2,1,HP,green,14,0,5,1
C,C072,1,0,1,1,UNP,,15,20,4,1
C,C105,2,0,2,1,UNP,,15,0,3,1
C,C188,2,0,1,1,UNP,,15,3,5,1
C,C239,1,0,1,1,HP,orange,16,3,2,1
C,C105,2,0,1,1,HP,flesh,16,0,1,1
C,C189,2,0,2,1,OP,flesh,16,0,5,1
P,P200,2,0,2,1,OP,flesh,16,1,1,1
P,P075,2,0,1,1,UNP,,17,2,2,1
P,P136,2,0,2,1,UNP,,17,0,1,1
P,P136,2,0,1,1,OP,crimson,17,4,1,1
P,P012,1,0,2,1,HP,p.green,18,2,4,1
P,P157,1,0,2,1,HP,p.blue,18,8,4,1
P,P235,1,0,1,1,UNP,,18,8,1,1
C,C105,2,0,1,1,OP,p.green,18,0,1,1
C,C127,2,0,2,1,OP,p.blue,18,5,5,1
P,P181,2,0,2,1,UNP,,18,7,5,1
P,P228,1,0,1,1,OP,blue,19,0,4,1
C,C158,2,0,1,1,UNP,,19,2,3,1
P,P107,2,0,1,1,UNP,,19,0,3,1
C,C094,1,0,1,1,OP,p.blue,20,3,4,1
C,C239,1,0,1,1,OP,purple,20,0,2,1
C,C161,1,0,2,1,UNP,,20,3,4,1
C,C127,2,0,1,1,UNP,,20,2,5,1
P,P075,2,0,1,1,UNP,,20,0,2,1
P,P172,2,0,1,1,UNP,,20,3,3,1
P,P190,2,0,1,1,HP,red,20,4,1,1
P,P157,1,0,1,1,HP,p.blue,21,2,4,1
P,P154,1,0,1,1,OP,p.green,21,7,4,1
P,P198,1,0,2,1,OP,red,21,3,4,1
C,C184,2,0,1,1,OP,yellow,21,1,5,1
P,P162,2,0,2,1,OP,p.green,21,0,3,1
P,P198,1,0,1,1,OP,red,22,6,4,1
P,P075,2,0,2,1,HP,p.blue,22,5,2,1
C,C072,1,0,1,1,OP,p.blue,23,0,4,1
P,P012,1,0,2,1,OP,orange,23,1,4,1
P,P154,1,0,1,1,UNP,,23,3,4,1
C,C188,2,0,1,1,UNP,,23,3,5,1
P,P075,2,0,2,1,OP,p.green,23,4,3,1
P,P155,2,0,2,1,UNP,,23,4,3,1
P,P181,2,0,1,1,UNP,,23,1,5,1
P,P146,1,0,1,1,UNP,,24,2,4,1
P,P220,1,0,1,1,UNP,,24,3,5,1
P,P227,1,0,1,1,UNP,,24,4,5,1
P,P136,2,0,1,1,HP,ocre,24,12,5,1
C,C184,1,0,2,1,HP,p.blue,25,4,4,1
P,P198,1,0,1,1,HP,yellow,25,0,4,1
C,C072,1,0,1,1,OP,p.blue,25,2,4,1
P,P229,1,0,1,1,UNP,,25,0,5,1
C,C027,2,0,2,1,UNP,,25,5,5,1
C,C105,2,0,1,1,HP,p.blue,25,0,1,1
C,C127,2,0,2,1,HP,p.green,25,11,5,1
C,C158,2,0,1,1,OP,blue,25,4,5,1
P,P122,1,0,2,1,UNP,,26,1,4,1
C,C189,2,0,1,1,OP,yellow,26,0,2,1
P,P172,2,0,2,1,UNP,,26,2,3,1
P,P189,2,0,1,1,UNP,,26,4,5,1
C,C012,1,0,2,1,OP,orange,27,0,4,1
P,P111,2,0,1,1,HP,ocre,27,0,3,1
P,P162,2,0,2,1,OP,LG,27,1,5,1
P,P162,2,0,2,1,HP,flesh,27,2,3,1
P,P012,1,0,1,1,HP,purple,28,4,4,1
P,P226,1,0,1,1,HP,yellow,28,1,4,1
P,P229,1,0,1,1,HP,green,28,2,4,1
P,P190,2,0,2,1,UNP,,28,5,1,1
P,P032,1,0,2,1,HP,p.green,29,5,4,1
P,P234,1,0,2,1,HP,green,29,4,5,1
P,P122,1,0,2,1,UNP,,29,0,4,1
P,P200,2,0,1,1,OP,p.blue,29,1,1,1
C,C072,1,0,1,1,HP,p.green,30,0,4,1
C,C146,1,0,2,1,UNP,,30,0,5,1
C,C230,1,0,1,1,UNP,,30,12,5,1
P,P003,1,0,1,1,UNP,,30,4,5,1
C,C027,2,0,2,1,UNP,,30,8,5,1
C,C158,2,0,1,1,UNP,,30,1,3,1
C,C184,2,0,1,1,OP,flesh,30,1,2,1
C,C189,2,0,1,1,OP,flesh,30,1,2,1
P,P158,2,0,2,1,OP,blue,30,1,5,1
P,P172,2,0,2,1,UNP,,30,3,5,1
P,P183,2,0,1,1,HP,p.green,30,2,5,1
P,P187,1,0,1,1,OP,red,31,4,5,1
C,C180,1,0,1,1,UNP,,31,3,4,1
P,P157,1,0,2,1,UNP,,31,6,4,1
C,C037,2,0,1,1,UNP,,31,3,5,1
C,C105,2,0,1,1,OP,p.green,31,0,1,1
P,P037,2,0,1,1,HP,flesh,31,1,5,1
P,P136,2,0,1,1,HP,p.green,31,5,5,1
P,P162,2,0,1,1,HP,flesh,31,4,5,1
C,C027,2,0,1,1,UNP,,32,4,5,1
