plantid,pop,bulk,stem,num_frt,seedv,seedinv,obs,frt_set
C009,1,0,1,1,0,2,2,0
C014,1,0,2,1,0,0,5,0
C022,1,0,1,1,0,0,5,0
C024,1,0,1,1,0,0,5,0
C024,1,0,1,1,0,0,5,0
C036,1,0,1,1,0,0,5,0
C041,1,0,1,1,0,0,1,0
C057,1,0,1,1,0,0,5,0
C068,1,0,2,1,0,2,4,0
C071,1,0,2,1,0,1,5,0
C081,1,0,1,1,0,1,3,0
C088,1,0,2,1,0,1,3,0
C095,1,0,1,1,0,0,4,0
c104,1,0,1,1,0,0,5,0
C107,1,0,1,1,0,2,1,0
C111,1,0,2,1,0,3,3,0
C117,1,0,1,1,0,0,5,0
C117,1,0,2,1,0,0,5,0
C122,1,0,1,1,0,7,5,0
C126,1,0,2,1,0,0,5,0
C132,1,0,1,1,0,0,5,0
C132,1,0,1,1,0,0,5,0
C134,1,0,2,1,0,0,5,0
C140,1,0,1,1,0,0,5,0
C147,1,0,1,1,0,0,4,0
C147,1,0,1,1,0,0,4,0
C148,1,0,1,1,0,2,1,0
C158,1,0,2,1,0,0,4,0
C163,1,0,1,1,0,0,4,0
C168,1,0,1,1,0,0,5,0
C174,1,0,1,1,0,0,5,0
C176,1,0,1,1,0,3,1,0
P005,1,0,1,1,0,0,5,0
P005,1,0,1,1,0,0,5,0
P016,1,0,1,1,0,0,4,0
P017,1,0,1,1,0,0,4,0
P017,1,0,1,1,0,0,4,0
P041,1,0,1,1,0,0,5,0
P051,1,0,1,1,0,0,1,0
P051,1,0,1,1,0,2,1,0
P076,1,0,1,1,0,0,4,0
P076,1,0,1,1,0,0,4,0
P086,1,0,1,1,0,0,3,0
P088,1,0,1,1,0,0,5,0
P090,1,0,1,1,0,0,5,0
P102,1,0,1,1,0,0,3,0
P128,1,0,2,1,0,2,1,0
P128,1,0,2,1,0,4,1,0
P132,1,0,1,1,0,0,5,0
P132,1,0,1,1,0,0,5,0
P138,1,0,1,1,0,0,5,0
P138,1,0,1,1,0,0,5,0
P156,1,0,1,1,0,0,4,0
P156,1,0,1,1,0,0,4,0
P156,1,0,1,1,0,0,4,0
P163,2,0,1,1,0,0,2,0
P163,2,0,1,1,0,2,2,0
C009,1,0,1,1,1,1,2,0
C009,1,0,1,1,1,1,2,0
C013,1,0,2,1,1,2,4,0
C014,1,0,1,1,1,0,5,0
C015,1,0,1,1,1,2,4,0
C015,1,0,1,1,1,2,4,0
C040,1,0,1,1,1,2,1,0
C066,1,0,1,1,1,1,4,0
C068,1,0,1,1,1,3,4,0
C068,1,0,1,1,1,6,4,0
C068,1,0,2,1,1,2,4,0
c104,1,0,2,1,1,0,5,0
C139,1,0,2,1,1,0,5,0
C162,1,0,1,1,1,32,4,0
P017,1,0,1,1,1,1,4,0
P041,1,0,1,1,1,1,5,0
P090,1,0,1,1,1,0,5,0
P091,1,0,1,1,1,0,5,0
P132,1,0,1,1,1,0,5,0
P149,1,0,1,1,1,2,4,0
P149,1,0,2,1,1,5,4,0
P161,1,0,1,1,1,1,4,0
C160,2,0,1,1,1,0,3,0
P174,2,0,2,1,1,0,1,0
C034,1,0,2,1,2,0,1,0
C083,1,0,1,1,2,5,4,0
C107,1,0,1,1,2,1,1,0
C107,1,0,1,1,2,2,1,0
P028,1,0,1,1,2,0,5,0
P092,1,0,1,1,2,3,1,0
P128,1,0,1,1,2,1,1,0
C168,2,0,1,1,2,0,1,0
C024,1,0,1,1,3,1,5,0
C050,1,0,2,1,3,0,3,0
C095,1,0,1,1,3,0,4,0
C096,1,0,2,1,3,1,1,0
C107,1,0,1,1,3,1,1,0
C122,1,0,1,1,3,2,5,0
C148,1,0,1,1,3,4,1,0
C182,1,0,1,1,3,3,1,0
C198,1,0,1,1,3,0,1,0
P041,1,0,2,1,3,0,5,0
P051,1,0,2,1,3,4,1,0
P088,1,0,1,1,3,1,5,0
P124,1,0,2,1,3,5,5,0
P156,1,0,1,1,3,3,4,0
P166,1,0,1,1,3,0,5,0
P179,1,0,1,1,3,0,1,0
C168,2,0,1,1,3,0,1,0
C160,2,0,2,1,3,3,3,0
C002,1,0,1,1,4,14,5,0
C009,1,0,1,1,4,4,2,0
P030,1,0,2,1,4,0,2,0
P048,1,0,2,1,4,1,5,0
P068,1,0,1,1,4,0,4,0
P095,1,0,1,1,4,0,1,0
P110,1,0,1,1,4,1,5,0
P138,1,0,1,1,4,0,1,0
P139,1,0,2,1,4,0,5,0
P166,1,0,2,1,4,1,5,0
P166,1,0,2,1,4,1,5,0
P191,1,0,1,1,4,3,1,0
C107,1,0,1,1,5,2,1,0
C111,1,0,1,1,5,0,3,0
C168,1,0,1,1,5,6,5,0
C174,1,0,1,1,5,0,5,0
C190,1,0,1,1,5,3,4,0
P023,1,0,1,1,5,0,4,0
P049,1,0,1,1,5,2,5,0
P101,1,0,1,1,5,0,3,0
C027,1,0,1,1,6,0,4,0
C050,1,0,2,1,6,6,3,0
C057,1,0,2,1,6,0,5,0
C059,1,0,1,1,6,2,4,0
C096,1,0,1,1,6,4,1,0
