indiv,date,trt,fruit,flower,bud,adult,egg,node,total,dmg_leave,avg_dmg,dmg_index,ap_dmg,initial_beetle,sec_branch,sec_node,sec_branch_rep,sec_ap1,shoot_height,leaf_length,stem_width,cumulative
C009,1,C,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,30,4,2.2,0
C009,2,C,0,0,0,0,0,11,22,0,0,0,0,0,0,0,0,0,33.5,4,2.4,0
C009,3,C,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,39,4.1,2.15,0
C009,4,C,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,43,4.3,3.1,0
C009,5,C,0,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,45,4.7,2.5,0
C009,6,C,0,0,0,0,0,15,30,0,0,0,0,0,0,0,0,0,48.5,4.7,2.5,0
C009,7,C,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,0,49,5.1,2.1,0
C009,8,C,0,0,1,0,0,19,38,2,1,0.000526316,0,0,0,0,0,0,54,4.9,2.7,0
C009,9,C,0,0,1.4,0,0,19,38,2,1,0.000526316,0,0,0,0,0,0,57,4.9,2.7,0
C009,10,C,0,0,2.3,0,0,19,38,2,1,0.000526316,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,11,C,0,0,7,0,0,19,38,2,1,0.000526316,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,12,C,0,5,5.5,0,0,19,38,3,1,0.000789474,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,13,C,4.5,6.5,0,0,0,19,38,3,1,0.000789474,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,14,C,4,5.5,5,0,0,19,38,7,1,0.001842105,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,15,C,9.5,5,0,0,0,19,38,7,1,0.001842105,0,0,0,0,0,0,58.5,4.9,2.7,0
C009,16,C,14.5,0,0,0,0,19,38,7,1,0.001842105,0,0,0,0,0,0,58.5,4.9,2.7,0
C013,1,C,0,0,0,0,0,8,16,2,1,0.00125,0,0,0,0,0,0,41,4.4,4.4,0
C013,2,C,0,0,0,0,0,9,18,6,1,0.003333333,0,0,0,0,0,0,52,5.1,3.4,0
C013,3,C,0,0,0,0,2,12,24,8,5,0.016666667,1,0,5,5,0,0,52.5,5.6,3.26,0
C013,4,C,0,0,0,0,0,12,24,5,5,0.010416667,0,1,5,5,0,0,70,6,4.2,0
C013,5,C,0,0,0,0,0,12,24,5,5,0.010416667,0,1,5,5,0,0,73,6.7,3.6,0
C013,6,C,0,0,0,0,0,12,24,8,10,0.033333333,0,1,5,5,0,0,79.5,6,3.6,0
C013,7,C,0,0,0,0,0,24,48,17,10,0.035416667,0,1,5,17,0,0,76,6.7,3.4,0
C013,8,C,0,0,0,0,0,11,22,12,10,0.054545455,0,1,4,17,0,0,89,7,3.9,3
C013,9,C,0,0,1.2,0,0,11,22,22,10,0.1,0,1,4,18,0,0,89,7,3.9,1.2
C013,10,C,0,0,1.8,0,0,11,22,22,10,0.1,0,1,4,25,0,0,89,7,3.9,1.8
C013,11,C,0,0,3.2,0,0,11,22,22,10,0.1,0,1,4,25,0,0,89,7,3.9,1.8
C013,12,C,0,6,3,0,0,11,22,29,10,0.131818182,0,1,4,20,0/1/0,0,89,7,3.9,6
C013,13,C,0,9,3,0,0,11,22,21,10,0.095454545,0,1,3,18,0/1/0,0,89,7,3.9,7.8
C013,14,C,0,15,2,0,0,11,22,27,10,0.122727273,0,1,4,22,0/1/0,0,89,7,3.9,9
C013,15,C,10,7,2,0,0,11,22,27,10,0.122727273,0,1,4,22,0/1/0,0,89,7,3.9,9
C013,16,C,17,0,0,0,0,11,22,27,10,0.122727273,0,1,4,22,0/1/0,0,89,7,3.9,9
C014,1,C,0,0,0,0,0,9,18,0,0,0,0,0,3,6,0,0,36,5.7,3.5,0
C014,2,C,0,0,0,0,0,10,20,0,0,0,0,0,3,7,0,0,42.5,6,2.6,0
C014,3,C,0,0,0,0,0,13,26,3,1,0.001153846,0,0,11,18,0,0,50,6.6,2.96,0
C014,4,C,0,0,0,0,0,14,28,0,0,0,0,0,6,12,0,0,57,7.4,3.2,0
C014,5,C,0,0,0,0,0,15,30,0,0,0,0,0,5,17,0,0,65,7,2.8,0
C014,6,C,0,0,2.2,0,0,17,34,4,1,0.001176471,0,0,9,27,0,0,68,7.1,2.8,0
C014,7,C,0,0,2.9,0,0,15,30,13,1,0.004333333,0,0,25,59,0,0,75,7.6,2.7,0
C014,8,C,0,0,10.4,0,0,16,32,5,5,0.0078125,0,0,18,49,0,0,77,6.8,3.6,6
C014,9,C,1.7,6.5,4.8,0,0,16,32,4,5,0.00625,0,0,14,64,0,0,77,6.8,3.6,2.6
C014,10,C,0,13,3.7,0,0,16,32,4,5,0.00625,0,0,14,64,0,0,77,6.8,3.6,4.8
C014,11,C,9,9,3.6,0,0,16,32,4,5,0.00625,0,0,14,64,0,0,77,6.8,3.6,4.8
C014,12,C,6,20,1.5,0,0,16,32,9,5,0.0140625,0,0,20,76,0/2/0,0,77,6.8,3.6,15
C014,13,C,20,7,1,0,0,16,32,6,5,0.009375,0,0,18,64,36526,0,77,6.8,3.6,22.3
C014,14,C,24,7,0,0,0,16,32,12,1,0.00375,0,0,14,68,36526,0,77,6.8,3.6,25
C014,15,C,31,0,0,0,0,16,32,12,1,0.00375,0,0,14,68,NA,0,77,6.8,3.6,25
C014,16,C,31,0,0,0,0,16,32,12,1,0.00375,0,0,14,68,NA,0,77,6.8,3.6,25
C015,1,C,0,0,0,0,5,7,14,2,1,0.001428571,0,0,0,0,0,0,47,4,3.9,0
