trt,plantid,site,prim_nfrts,sec_nfrts,plantid,prim_avgseed,sec_avgseed,prim_seeds_per_plant,sec_seeds_per_plant,dmg_index
C,C009,B,12,0,C009,16.2,0,194.4,0,0.001842105
C,C013,B,63,34,C013,51,9,3213,306,0.122727273
C,C014,B,121,80,C014,28.66666667,13.5,3468.666667,1080,0.00375
C,C015,B,65,83,C015,10,28.5,650,2365.5,0.013888889
C,C021,B,0,0,C021,70.5,0,0,0,0.06875
C,C022,B,13,0,C022,28,0,364,0,0.013235294
C,C024,B,26,19,C024,1,16,26,304,0.029411765
C,C027,B,34,0,C027,41,0,1394,0,0.003214286
C,C028,B,207,92,C028,48,42,9936,3864,0.000294118
C,C029,B,0,0,C029,43.66666667,31,0,0,0.025
C,C034,B,22,0,C034,35.66666667,36.5,784.6666667,0,0
C,C035,B,39,132,C035,34.33333333,53,1339,6996,0.018421053
C,C036,B,33,114,C036,24,33,792,3762,0.002941176
C,C037,B,42,0,C037,56.2,0,2360.4,0,0.030555556
C,C040,B,66,0,C040,26.6,0,1755.6,0,0.026388889
C,C041,B,110,64,C041,11.33333333,45.5,1246.666667,2912,0.0125
C,C047,B,38,48,C047,27.33333333,46.5,1038.666667,2232,0.004615385
C,C048,B,37,0,C048,34.4,0,1272.8,0,0.04
C,C050,B,49,5,C050,48.33333333,4.5,2368.333333,22.5,0.032352941
C,C051,B,42,110,C051,36,21.5,1512,2365,0.023529412
C,C052,B,74,0,C052,42.4,0,3137.6,0,0.016176471
C,C057,B,0,0,C057,27.33333333,37,0,0,0.01547619
C,C059,B,3,14,C059,31,31,93,434,0.036111111
C,C064,B,3,37,C064,32,40,96,1480,0.0034375
C,C066,B,72,0,C066,35.4,0,2548.8,0,0.00375
C,C068,B,35,8,C068,9.666666667,0.5,338.3333333,4,0.144736842
C,C071,B,68,8,C071,54.66666667,12.5,3717.333333,100,0.011666667
C,C073,B,35,78,C073,46,55.5,1610,4329,0.078947368
C,C075,B,9,18,C075,44.33333333,54,399,972,0.040277778
C,C078,B,0,201,C078,36,48.5,0,9748.5,0.044444444
C,C079,B,52,0,C079,42.8,0,2225.6,0,0.028333333
C,C080,B,25,0,C080,83.4,0,2085,0,0.000666667
C,C081,B,42,0,C081,29.4,0,1234.8,0,0.047058824
C,C083,B,7,2,C083,17,27,119,54,0.047222222
C,C084,B,60,95,C084,58.33333333,41,3500,3895,0.061111111
C,C085,B,2,0,C085,41,0,82,0,0.001875
C,C086,B,72,343,C086,57.66666667,61,4152,20923,0.054761905
C,C088,B,131,0,C088,58.66666667,11,7685.333333,0,0.029411765
C,C093,B,82,110,C093,41,20,3362,2200,0
C,C095,B,221,101,C095,19.33333333,57,4272.666667,5757,0.052941176
C,C096,B,88,228,C096,12.66666667,28,1114.666667,6384,0.0525
C,C097,B,104,0,C097,45,0,4680,0,0.027777778
C,C101,B,10,77,C101,40.66666667,51.5,406.6666667,3965.5,0.166666667
C,C102,B,84,0,C102,33,0,2772,0,0.0265625
C,C103,B,71,0,C103,59.6,0,4231.6,0,0.003333333
C,C104,B,110,6,C104,41,27,4510,162,0.016176471
C,C105,B,37,,C105,66.2,0,2449.4,0,0.04375
C,C107,B,4,0,C107,2.4,0,9.6,0,0.141666667
C,C108,B,161,0,C108,41.2,0,6633.2,0,0.026666667
C,C111,B,262,771,C111,27.33333333,34,7161.333333,26214,0.210526316
C,C112,B,53,0,C112,49.8,0,2639.4,0,0.004117647
C,C114,B,122,0,C114,50.8,0,6197.6,0,0.003333333
C,C117,B,116,99,C117,35.33333333,30,4098.666667,2970,0.021052632
C,C122,B,0,0,C122,49.8,0,0,0,0.020238095
C,C123,B,19,0,C123,39.5,0,750.5,0,0.008823529
C,C125,B,15,17,C125,72.66666667,71.5,1090,1215.5,0.019736842
C,C126,B,71,224,C126,35.66666667,19.5,2532.333333,4368,0.025
C,C127,B,0,3,C127,57,0,0,0,0.009285714
C,C129,B,34,100,C129,76.66666667,12.5,2606.666667,1250,0.00525
C,C132,B,0,11,C132,21.33333333,36,0,396,0.009210526
C,C134,B,95,28,C134,54,3,5130,84,0.066666667
C,C135,B,47,26,C135,50,42.5,2350,1105,0.052777778
C,C136,B,0,0,C136,39.2,0,0,0,0.006944444
C,C137,B,99,77,C137,62,31,6138,2387,0.022368421
C,C138,B,40,47,C138,63.66666667,58,2546.666667,2726,0.028409091
C,C139,B,36,0,C139,46.75,5.5,1683,0,0.058823529
C,C140,B,85,0,C140,37.2,0,3162,0,0.014473684
C,C142,B,17,0,C142,55.2,0,938.4,0,0.019117647
C,C143,B,18,0,C143,35.2,0,633.6,0,0.0265625
C,C144,B,41,0,C144,45,0,1845,0,0.136842105
C,C145,B,0,36,C145,43.33333333,34,0,1224,0.110294118
C,C147,B,4,216,C147,15.66666667,22,62.66666667,4752,0.02173913
C,C148,B,20,141,C148,20,12.5,400,1762.5,0.0325
C,C154,B,2,0,C154,43,31,86,0,0.016666667
C,C162,B,0,0,C162,27,0,0,0,0.083333333
